molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
97,CHEMBL2,4,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,IENZQIKPVFGBNW-UHFFFAOYSA-N,383.41,383.41,1.78,8,1,106.95,4,0,3,28,0.73,-1.29,1,0,N,1,0,0
115,CHEMBL3,4,CN1CCC[C@H]1c1cccnc1,SNICXCGAKADSCV-JTQLQIEISA-N,162.24,162.24,1.85,2,0,16.13,1,0,1,12,0.63,-0.41,1,0,Y,1,0,1
116,CHEMBL6200,1,c1cncc([C@@H]2CCCN2)c1,MYKUKUCHPMASKF-VIFPVBQESA-N,148.21,148.21,1.51,2,1,24.92,1,0,1,11,0.65,-0.09,1,0,Y,0,0,0
146,CHEMBL4,4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,GSDSWSVVBLHKDQ-UHFFFAOYSA-N,361.37,361.37,1.54,6,1,75.01,2,0,2,26,0.87,-0.21,0,0,N,1,1,1
147,CHEMBL5,4,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,232.24,232.24,1.42,4,1,72.19,2,0,2,17,0.85,-0.98,1,0,N,1,0,0
148,CHEMBL6246,2,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,AFSDNFLWKVMVRB-UHFFFAOYSA-N,302.19,302.19,1.31,8,4,141.34,0,0,4,22,0.22,1.07,1,0,N,0,0,0
154,CHEMBL204021,3,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,WDPFJWLDPVQCAJ-UHFFFAOYSA-N,666.79,666.79,7.22,6,0,58.44,13,2,4,47,0.09,-1.74,0,0,N,0,0,0
173,CHEMBL6,4,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CGIGDMFJXJATDK-UHFFFAOYSA-N,357.79,357.79,3.93,4,1,68.53,4,0,3,25,0.77,-0.72,1,0,N,1,1,1
194,CHEMBL403,4,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,FKENQMMABCRJMK-RITPCOANSA-N,233.24,233.24,-0.79,4,1,91.75,1,0,0,15,0.6,0.77,1,0,N,0,1,0
205,CHEMBL6259,2,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1,NOCJXYPHIIZEHN-UHFFFAOYSA-N,399.4,399.4,2.72,5,1,65.78,3,0,3,29,0.73,-1.08,0,0,N,0,0,0
