,molregno,chembl_id,max_phase,canonical_smiles,standard_inchi_key,mw_freebase,molecular_weight,alogp,hba,hbd,psa,rtb,num_ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,np_likeness_score,natural_product,prodrug,ro3_pass,oral,parenteral,topical
269,8609,CHEMBL273977,2.0,O=S(=O)([O-])NC1CCCCC1.[Na+],UDIPTWFVPPPURJ-UHFFFAOYSA-M,201.22,201.22,,,,,,,,,,,1,0,,0,0,0
727,29061,CHEMBL265502,3.0,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,FIAFUQMPZJWCLV-UHFFFAOYSA-N,1297.3,1297.3,,,,,,,,,,,1,0,,0,0,0
747,30211,CHEMBL23393,3.0,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],DBMJMQXJHONAFJ-UHFFFAOYSA-M,288.38,288.38,,,,,,,,,,,1,0,,0,0,0
976,45921,CHEMBL32994,2.0,C[Si](C)(C)c1cc(C(=O)Nc2ccc(C(=O)O)cc2)cc([Si](C)(C)C)c1,VVTNSTLJOVCBDL-UHFFFAOYSA-N,385.61,385.61,,,,,,,,,,,1,0,,0,0,0
1136,59311,CHEMBL413376,3.0,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],VAPNKLKDKUDFHK-UHFFFAOYSA-H,1297.3,1429.19,,,,,,,,,,,0,0,,0,0,0
1278,70140,CHEMBL262777,4.0,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,MYPYJXKWCTUITO-LYRMYLQWSA-N,1449.27,1449.27,,,,,,,,,,,1,0,,1,1,0
1312,75507,CHEMBL51085,3.0,O=c1c2ccccc2[se]n1-c1ccccc1,DYEFUKCXAQOFHX-UHFFFAOYSA-N,274.18,274.18,,,,,,,,,,,1,0,,0,0,0
1398,84251,CHEMBL264241,4.0,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,JHVAMHSQVVQIOT-MFAJLEFUSA-N,1140.25,1140.25,,,,,,,,,,,1,0,,0,1,0
1476,92706,CHEMBL58061,3.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,WZRJTRPJURQBRM-UHFFFAOYSA-N,543.61,543.61,,,,,,,,,,,0,0,,0,0,0
1523,98058,CHEMBL62382,1.0,C[Se]C[C@H](N)C(=O)O,XDSSPSLGNGIIHP-VKHMYHEASA-N,182.08,182.08,,,,,,,,,,,1,0,,0,0,0
1546,100479,CHEMBL62381,2.0,CCCC(=O)[O-].[Na+],MFBOGIVSZKQAPD-UHFFFAOYSA-M,110.09,110.09,,,,,,,,,,,1,0,,0,0,0
1557,101924,CHEMBL984,4.0,COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2.[Cl-].[Cl-],WMSYWJSZGVOIJW-ONUALHDOSA-L,1029.28,1100.18,,,,,,,,,,,0,0,,0,1,0
1565,103029,CHEMBL67279,3.0,CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,FKCMADOPPWWGNZ-YUMQZZPRSA-N,214.07,214.07,,,,,,,,,,,1,0,,0,0,0
1656,115554,CHEMBL306823,3.0,O=C([O-])C(Cl)Cl.[Na+],LUPNKHXLFSSUGS-UHFFFAOYSA-M,150.92,150.92,,,,,,,,,,,0,0,,0,0,0
1677,118669,CHEMBL166,3.0,Nc1nc(N)nc(Nc2ccc([As]3SCC(CO)S3)cc2)n1,JCYZMTMYPZHVBF-UHFFFAOYSA-N,398.35,398.35,,,,,,,,,,,1,1,,0,0,0
2045,177686,CHEMBL269259,2.0,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)NCCNC(=O)COc2cccc([C@@H](CCc3ccc(OC)c(OC)c3)OC(=O)[C@@H]3CCCCN3C(=O)[C@@H](CC)c3cc(OC)c(OC)c(OC)c3)c2)c1)c1cc(OC)c(OC)c(OC)c1,GQLCLPLEEOUJQC-ZTQDTCGGSA-N,1411.65,1411.65,,,,,,,,,,,0,0,,0,0,0
2084,184737,CHEMBL113178,4.0,C[Se]CC[C@H](N)C(=O)O,RJFAYQIBOAGBLC-BYPYZUCNSA-N,196.11,196.11,,,,,,,,,,,1,0,,0,1,0
